symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,disease
muscle weakness,weight gain,depression,fatigue,dry skin,memory problems,slow heart rate,hair loss,thyroid
chest pain,cold sweat,shortness of breath,irregular heartbeat,nausea,left arm pain,fatigue,,heart attack
dry skin,fatigue,memory problems,weight gain,depression,slow heart rate,muscle weakness,hair loss,thyroid
rapid heartbeat,fever,muscle pain,fatigue,headache,chills,vomiting,,malaria
wheezing,chest tightness,short breaths,coughing,rapid breathing,fatigue,trouble sleeping,breathlessness,asthma
fever,body ache,dry cough,weakness,abdominal pain,headache,loss of appetite,constipation,typhoid
sweating,fatigue,body pain,loss of appetite,weakness,sore throat,high temperature,chills,fever
fatigue,shortness of breath,dizziness,nausea,left arm pain,jaw pain,chest pain,irregular heartbeat,heart attack
chest pain,fatigue,left arm pain,cold sweat,jaw pain,irregular heartbeat,nausea,shortness of breath,heart attack
short breaths,chest tightness,rapid breathing,fatigue,breathlessness,coughing,trouble sleeping,wheezing,asthma
jaw pain,shortness of breath,cold sweat,left arm pain,fatigue,nausea,irregular heartbeat,,heart attack
jaw pain,left arm pain,shortness of breath,irregular heartbeat,cold sweat,nausea,fatigue,,heart attack
weight loss,increased thirst,fatigue,frequent urination,tingling in feet,hunger,blurred vision,slow healing,diabetes
fatigue,body pain,chills,sore throat,loss of appetite,high temperature,headache,,fever
wheezing,rapid breathing,chest tightness,coughing,fatigue,short breaths,breathlessness,,asthma
blurred vision,tingling in feet,fatigue,increased thirst,frequent urination,hunger,slow healing,,diabetes
fatigue,sound sensitivity,vomiting,neck pain,sensitivity to light,vision issues,nausea,,migraine
shortness of breath,phlegm,rapid breathing,chest pain,fatigue,cough,chills,,pneumonia
shortness of breath,left arm pain,jaw pain,irregular heartbeat,nausea,chest pain,dizziness,,heart attack
vomiting,nausea,headache,sensitivity to light,sound sensitivity,neck pain,vision issues,fatigue,migraine
weight loss,hunger,slow healing,tingling in feet,frequent urination,increased thirst,blurred vision,,diabetes
slow heart rate,weight gain,depression,dry skin,hair loss,memory problems,fatigue,,thyroid
nausea,chills,vomiting,sweating,rapid heartbeat,headache,muscle pain,fatigue,malaria
high temperature,loss of appetite,sore throat,fatigue,sweating,body pain,chills,weakness,fever
pain,weakness,fatigue,night sweats,lump,loss of appetite,bleeding,weight loss,cancer
sound sensitivity,nausea,sensitivity to light,vomiting,vision issues,headache,fatigue,,migraine
weakness,loss of appetite,fatigue,sore throat,sweating,high temperature,body pain,,fever
trouble sleeping,breathlessness,fatigue,short breaths,rapid breathing,chest tightness,coughing,,asthma
fatigue,shortness of breath,phlegm,fever,chest pain,rapid breathing,chills,,pneumonia
muscle weakness,dry skin,slow heart rate,fatigue,hair loss,depression,weight gain,,thyroid
fatigue,muscle pain,rapid heartbeat,nausea,headache,vomiting,chills,sweating,malaria
increased thirst,weight loss,frequent urination,fatigue,slow healing,blurred vision,hunger,,diabetes
fever,chills,chest pain,shortness of breath,rapid breathing,phlegm,cough,fatigue,pneumonia
memory problems,dry skin,fatigue,slow heart rate,weight gain,hair loss,muscle weakness,,thyroid
cold sweat,nausea,shortness of breath,dizziness,left arm pain,jaw pain,fatigue,,heart attack
increased thirst,fatigue,blurred vision,slow healing,frequent urination,tingling in feet,hunger,weight loss,diabetes
chest tightness,breathlessness,fatigue,coughing,short breaths,wheezing,trouble sleeping,rapid breathing,asthma
blurred vision,slow healing,weight loss,frequent urination,hunger,fatigue,tingling in feet,,diabetes
trouble sleeping,breathlessness,wheezing,short breaths,chest tightness,rapid breathing,fatigue,,asthma
dizziness,chest pain,jaw pain,shortness of breath,nausea,irregular heartbeat,cold sweat,fatigue,heart attack
fatigue,headache,sore throat,sweating,high temperature,chills,weakness,body pain,fever
headache,chills,body pain,high temperature,fatigue,sore throat,loss of appetite,,fever
hair loss,weight gain,memory problems,dry skin,depression,muscle weakness,slow heart rate,,thyroid
vomiting,headache,loss of appetite,dry cough,abdominal pain,body ache,fever,constipation,typhoid
fatigue,slow heart rate,dry skin,hair loss,weight gain,depression,muscle weakness,memory problems,thyroid
fatigue,increased thirst,weight loss,hunger,frequent urination,tingling in feet,slow healing,blurred vision,diabetes
abdominal pain,constipation,dry cough,headache,loss of appetite,body ache,weakness,vomiting,typhoid
bleeding,skin changes,night sweats,pain,lump,loss of appetite,weakness,,cancer
neck pain,headache,sound sensitivity,vision issues,vomiting,nausea,fatigue,sensitivity to light,migraine
sweating,loss of appetite,fatigue,headache,weakness,body pain,sore throat,chills,fever
fatigue,breathlessness,wheezing,short breaths,rapid breathing,trouble sleeping,coughing,,asthma
chest tightness,fatigue,trouble sleeping,breathlessness,rapid breathing,wheezing,coughing,short breaths,asthma
fatigue,dizziness,chest pain,left arm pain,nausea,shortness of breath,jaw pain,,heart attack
shortness of breath,left arm pain,irregular heartbeat,chest pain,cold sweat,jaw pain,nausea,,heart attack
weakness,high temperature,fatigue,headache,sweating,chills,loss of appetite,,fever
frequent urination,slow healing,weight loss,tingling in feet,fatigue,increased thirst,blurred vision,hunger,diabetes
fatigue,cough,rapid breathing,chest pain,fever,shortness of breath,chills,phlegm,pneumonia
loss of appetite,headache,sore throat,sweating,body pain,weakness,fatigue,high temperature,fever
weakness,fatigue,chills,headache,high temperature,sore throat,body pain,sweating,fever
headache,nausea,rapid heartbeat,sweating,fever,fatigue,chills,vomiting,malaria
chills,nausea,rapid heartbeat,sweating,muscle pain,headache,vomiting,,malaria
headache,neck pain,nausea,vision issues,sound sensitivity,sensitivity to light,vomiting,fatigue,migraine
chills,fatigue,sweating,nausea,fever,rapid heartbeat,headache,,malaria
nausea,fatigue,headache,chills,muscle pain,sweating,vomiting,fever,malaria
weight loss,frequent urination,blurred vision,tingling in feet,slow healing,increased thirst,fatigue,hunger,diabetes
cough,fatigue,shortness of breath,phlegm,chills,chest pain,rapid breathing,,pneumonia
loss of appetite,headache,dry cough,body ache,weakness,vomiting,constipation,fever,typhoid
loss of appetite,body pain,headache,high temperature,chills,sweating,fatigue,weakness,fever
sweating,body pain,chills,weakness,headache,high temperature,sore throat,,fever
rapid breathing,phlegm,chest pain,chills,shortness of breath,cough,fever,fatigue,pneumonia
coughing,chest tightness,short breaths,trouble sleeping,rapid breathing,breathlessness,fatigue,wheezing,asthma
muscle weakness,fatigue,weight gain,depression,slow heart rate,dry skin,memory problems,,thyroid
night sweats,skin changes,weight loss,pain,lump,fatigue,loss of appetite,,cancer
rapid breathing,breathlessness,coughing,fatigue,trouble sleeping,chest tightness,short breaths,wheezing,asthma
sweating,rapid heartbeat,chills,headache,fever,nausea,vomiting,muscle pain,malaria
lump,pain,bleeding,fatigue,weight loss,weakness,night sweats,,cancer
slow healing,hunger,increased thirst,frequent urination,fatigue,blurred vision,tingling in feet,,diabetes
sweating,loss of appetite,sore throat,high temperature,headache,fatigue,body pain,weakness,fever
weight loss,loss of appetite,skin changes,weakness,fatigue,pain,lump,night sweats,cancer
increased thirst,fatigue,blurred vision,slow healing,weight loss,frequent urination,hunger,tingling in feet,diabetes
sore throat,body pain,chills,sweating,high temperature,fatigue,headache,,fever
jaw pain,cold sweat,left arm pain,irregular heartbeat,nausea,fatigue,chest pain,,heart attack
lump,skin changes,bleeding,weakness,pain,loss of appetite,weight loss,fatigue,cancer
shortness of breath,left arm pain,nausea,dizziness,fatigue,irregular heartbeat,jaw pain,cold sweat,heart attack
fatigue,sore throat,weakness,loss of appetite,sweating,high temperature,body pain,chills,fever
constipation,headache,vomiting,dry cough,fever,loss of appetite,body ache,abdominal pain,typhoid
neck pain,vision issues,headache,sensitivity to light,sound sensitivity,nausea,vomiting,fatigue,migraine
sweating,high temperature,chills,loss of appetite,headache,fatigue,weakness,,fever
bleeding,skin changes,fatigue,lump,loss of appetite,weight loss,weakness,night sweats,cancer
shortness of breath,chest pain,phlegm,chills,fever,rapid breathing,fatigue,,pneumonia
depression,hair loss,muscle weakness,fatigue,weight gain,slow heart rate,dry skin,memory problems,thyroid
fever,fatigue,chills,headache,muscle pain,sweating,rapid heartbeat,,malaria
bleeding,loss of appetite,weakness,skin changes,weight loss,night sweats,lump,,cancer
weight loss,pain,bleeding,fatigue,lump,loss of appetite,weakness,,cancer
pain,lump,weight loss,fatigue,skin changes,weakness,bleeding,night sweats,cancer
rapid heartbeat,headache,fever,fatigue,vomiting,sweating,chills,muscle pain,malaria
nausea,vision issues,sensitivity to light,neck pain,fatigue,vomiting,sound sensitivity,headache,migraine
hair loss,muscle weakness,slow heart rate,depression,dry skin,memory problems,weight gain,fatigue,thyroid
constipation,weakness,vomiting,dry cough,body ache,abdominal pain,loss of appetite,fever,typhoid
phlegm,chest pain,rapid breathing,fatigue,chills,cough,fever,,pneumonia
slow healing,tingling in feet,fatigue,blurred vision,weight loss,hunger,increased thirst,,diabetes
shortness of breath,chills,phlegm,cough,fatigue,rapid breathing,chest pain,fever,pneumonia
fatigue,nausea,left arm pain,dizziness,irregular heartbeat,jaw pain,cold sweat,,heart attack
loss of appetite,skin changes,lump,weakness,fatigue,night sweats,pain,bleeding,cancer
lump,pain,weakness,skin changes,night sweats,loss of appetite,weight loss,fatigue,cancer
dizziness,irregular heartbeat,chest pain,nausea,shortness of breath,cold sweat,jaw pain,fatigue,heart attack
fatigue,lump,pain,weight loss,loss of appetite,weakness,night sweats,bleeding,cancer
body pain,chills,headache,high temperature,weakness,sore throat,loss of appetite,,fever
loss of appetite,fatigue,high temperature,body pain,weakness,chills,headache,sweating,fever
irregular heartbeat,left arm pain,nausea,cold sweat,fatigue,jaw pain,chest pain,,heart attack
dry skin,weight gain,memory problems,muscle weakness,slow heart rate,fatigue,hair loss,,thyroid
chills,muscle pain,nausea,rapid heartbeat,fatigue,sweating,headache,,malaria
slow healing,increased thirst,tingling in feet,blurred vision,hunger,weight loss,fatigue,,diabetes
skin changes,pain,loss of appetite,weakness,night sweats,weight loss,lump,,cancer
fatigue,weight loss,loss of appetite,night sweats,skin changes,lump,weakness,,cancer
dizziness,fatigue,nausea,shortness of breath,irregular heartbeat,cold sweat,jaw pain,chest pain,heart attack
slow heart rate,depression,dry skin,muscle weakness,fatigue,memory problems,hair loss,weight gain,thyroid
muscle pain,headache,fever,fatigue,vomiting,rapid heartbeat,chills,nausea,malaria
irregular heartbeat,dizziness,shortness of breath,left arm pain,fatigue,chest pain,cold sweat,jaw pain,heart attack
trouble sleeping,wheezing,rapid breathing,coughing,breathlessness,fatigue,short breaths,chest tightness,asthma
irregular heartbeat,jaw pain,shortness of breath,fatigue,left arm pain,cold sweat,nausea,,heart attack
constipation,vomiting,loss of appetite,abdominal pain,body ache,fever,dry cough,weakness,typhoid
sweating,rapid heartbeat,headache,vomiting,fever,muscle pain,fatigue,,malaria
loss of appetite,weakness,vomiting,dry cough,body ache,headache,constipation,fever,typhoid
rapid breathing,fatigue,trouble sleeping,coughing,breathlessness,short breaths,wheezing,chest tightness,asthma
fatigue,nausea,jaw pain,shortness of breath,irregular heartbeat,left arm pain,cold sweat,,heart attack
blurred vision,slow healing,fatigue,hunger,tingling in feet,weight loss,increased thirst,frequent urination,diabetes
fatigue,blurred vision,increased thirst,slow healing,hunger,frequent urination,tingling in feet,,diabetes
fever,headache,abdominal pain,body ache,loss of appetite,vomiting,dry cough,constipation,typhoid
fatigue,jaw pain,cold sweat,dizziness,shortness of breath,left arm pain,nausea,,heart attack
fever,weakness,abdominal pain,dry cough,loss of appetite,headache,vomiting,constipation,typhoid
hair loss,depression,weight gain,slow heart rate,fatigue,muscle weakness,memory problems,dry skin,thyroid
nausea,left arm pain,cold sweat,fatigue,dizziness,irregular heartbeat,jaw pain,,heart attack
high temperature,body pain,headache,fatigue,loss of appetite,sweating,chills,sore throat,fever
fever,chest pain,phlegm,rapid breathing,fatigue,chills,cough,shortness of breath,pneumonia
sensitivity to light,vomiting,nausea,neck pain,sound sensitivity,fatigue,headache,,migraine
blurred vision,slow healing,tingling in feet,frequent urination,weight loss,hunger,fatigue,,diabetes
short breaths,chest tightness,wheezing,coughing,rapid breathing,fatigue,trouble sleeping,,asthma
nausea,cold sweat,shortness of breath,fatigue,jaw pain,dizziness,irregular heartbeat,left arm pain,heart attack
nausea,cold sweat,shortness of breath,dizziness,fatigue,chest pain,jaw pain,irregular heartbeat,heart attack
rapid heartbeat,headache,fatigue,fever,chills,nausea,vomiting,,malaria
vomiting,headache,rapid heartbeat,muscle pain,fatigue,sweating,fever,,malaria
weakness,headache,chills,high temperature,fatigue,sweating,sore throat,loss of appetite,fever
vomiting,fatigue,rapid heartbeat,nausea,chills,sweating,muscle pain,,malaria
fatigue,muscle pain,vomiting,nausea,fever,headache,chills,sweating,malaria
trouble sleeping,short breaths,breathlessness,rapid breathing,chest tightness,fatigue,wheezing,coughing,asthma
fatigue,slow healing,weight loss,blurred vision,frequent urination,tingling in feet,hunger,,diabetes
vomiting,nausea,sweating,rapid heartbeat,fatigue,headache,muscle pain,chills,malaria
